committee,committee_type,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
Colorado Families First,Issue Committee,479.21,12/4/20 0:00,Quickbooks Intuit Payroll,Mountain View,CA,94043,Employee Services,
Colorado Families First,Issue Committee,31,12/4/20 0:00,Colorado Department Of Revenue,Denver,CO,80261,Employee Services,
Colorado Families First,Issue Committee,203,12/4/20 0:00,United States Treasury,Washington,DC,20220,Employee Services,
Colorado Families First,Issue Committee,9.75,12/4/20 0:00,City And County Of Denver,Denver,CO,80202,Employee Services,
Fair Tax Colorado,Issue Committee,21511.65,12/4/20 0:00,The Sexton Group,Chicago,IL,60654,Other,Texting Services
Protect Colorado'S Recovery,Issue Committee,4500,12/4/20 0:00,Rkg Development,Lafayette,CO,80026,Consultant & Professional Services,Compliance Consulting
Rocky Mountain Wolf Action Fund,Issue Committee,-196.92,12/4/20 0:00,Bonfire,Glen Allen,VA,23060,Returned Expenditure,Offset
Rocky Mountain Wolf Action Fund,Issue Committee,4571.23,12/4/20 0:00,Biophilia Foundation,Chester,MD,21619,Contributions,Contribution To Irs Recognized Charitable Organization
Coalition For Women And Children,Issue Committee,55.27,12/7/20 0:00,Mailchimp,Atlanta,GA,30308,Other,7350 ∑ Email Service
Coalition For Women And Children,Issue Committee,27.12,12/7/20 0:00,Squarespace,San Francisco,CA,94103,Other,7223 ∑ Software Expense
Yes On National Popular Vote,Issue Committee,-2369.92,12/7/20 0:00,"Bluewest Media, Llc",Denver,CO,80220,Returned Expenditure,Media Refund
"A Brighter, Healthier Future For Colorado'S Kids",Issue Committee,65,12/8/20 0:00,First Bank,Lakewood,CO,80215,Bank Fees,
Recall Polis - Griswold 2021,Issue Committee,2,12/8/21 0:00,1St Bank,Loveland,CO,80537,Bank Fees,Monthly Bank Debit Card Fee
Abortion Access For All,Issue Committee,30,12/9/20 0:00,Deluxe,Shoreview,MN,55126,Bank Fees,
Stop The Wolf Pac,Issue Committee,1557.96,12/9/20 0:00,"Tactical Data Solutions, Inc.",Grand Junction,CO,81501,Consultant & Professional Services,
Coalition For Women And Children,Issue Committee,3081.45,12/10/20 0:00,"Sws Polifi, Llc",Fort Lupton,CO,80621,Other,7520 ∑ Accounting Fees
Stop The Wolf Pac,Issue Committee,177.68,12/10/20 0:00,Campaign Solutions,Alexandria,VA,22314,Fundraising Expenses,
Yes On National Popular Vote,Issue Committee,10,12/10/20 0:00,Action Network,Washington,DC,20036,Office Equipment & Supplies,
"A Brighter, Healthier Future For Colorado'S Kids",Issue Committee,3000,12/11/20 0:00,Michele Ames Consulting,Lakewood,CO,80215,Consultant & Professional Services,
"A Brighter, Healthier Future For Colorado'S Kids",Issue Committee,1000,12/11/20 0:00,Graciella  Sfirri,Denver,CO,80206,Consultant & Professional Services,
"A Brighter, Healthier Future For Colorado'S Kids",Issue Committee,3500,12/11/20 0:00,Common Good Consulting,Denver,CO,80220,Consultant & Professional Services,
"A Brighter, Healthier Future For Colorado'S Kids",Issue Committee,5500,12/11/20 0:00,Givewise,Denver,CO,80211,Consultant & Professional Services,
"A Brighter, Healthier Future For Colorado'S Kids",Issue Committee,9025.94,12/11/20 0:00,Hilltop Public Solutions,Washington,DC,20007,Consultant & Professional Services,
Alliance For Life,Issue Committee,68,12/11/20 0:00,Firstbank North,Arvada,CO,80006,Advertising,
Alliance For Life,Issue Committee,125,12/11/20 0:00,Constant Contact,Waltham,MA,2451,Fundraising Expenses,
Coalition For Women And Children,Issue Committee,2150,12/11/20 0:00,Arrington Law Firm,Deenver,CO,80210,Other,7510 ∑ Attorney Fees
Fair Tax Colorado,Issue Committee,-2666.67,12/11/20 0:00,Denver Post,Denver,CO,80216,Returned Expenditure,Advertising Refund
Fair Tax Colorado,Issue Committee,2000,12/11/20 0:00,Htc Solutions,Aurora,CO,80047,Consultant & Professional Services,Sign Distribution And Placement
"A Brighter, Healthier Future For Colorado'S Kids",Issue Committee,4000,12/13/20 0:00,"Uprising Strategies, Llc",Arlington,VA,22208,Consultant & Professional Services,
Great Education Colorado Issue Committee,Issue Committee,500,12/13/20 0:00,Rkg Development,Lafayette,CO,80026,Consultant & Professional Services,Compliance Consulting
Fair Tax Colorado,Issue Committee,30.98,12/14/20 0:00,Mail Chimp,Atlanta,GA,30308,Office Equipment & Supplies,
Colorado Voter Defense Project,Issue Committee,1000,12/14/21 0:00,Blue Mountain Strategies,Denver,CO,80203,Consultant & Professional Services,
Colorado Voter Defense Project,Issue Committee,1020.24,12/14/21 0:00,Scarlett Greene,Denver,CO,80206,Consultant & Professional Services,
Coloradans Protecting Wildlife,Issue Committee,750,12/15/20 0:00,Pac/West,Wilsonville,OR,97070,Consultant & Professional Services,
