District,candidate,Party,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
Senate District 04,"Baisley, Mark",Republican,4.99,3/14/22 0:00,Whitepages,Seattle,WA,98101,Other,Address Search Service Subscription
Senate District 04,"Baisley, Mark",Republican,220,3/18/22 0:00,Eventbrite,San Francisco,CA,94103,Other,"Registration For Arkansas River Basin Water Forum In Salida, Co"
Senate District 04,"Baisley, Mark",Republican,2.3,3/22/22 0:00,Anedot Inc.,New Orleans,LA,70112,Bank Fees,Online Payment Processing Fee
Senate District 04,"Baisley, Mark",Republican,592.03,3/25/22 0:00,Antoinette  Harris,Florissant,CO,80816,Other,Zelle Reimbursement For Staff Lodging
Senate District 04,"Baisley, Mark",Republican,284.21,3/28/22 0:00,Dtc Print Brokers,Centennial,CO,80112,Advertising,Campaign Mailers
Senate District 04,"Baisley, Mark",Republican,4.3,3/29/22 0:00,Anedot Inc.,New Orleans,LA,70112,Bank Fees,Online Payment Processing Fee
Senate District 04,"Baisley, Mark",Republican,143.93,3/30/22 0:00,Letters Plus,Centennial,CO,80112,Advertising,Mailings
Senate District 04,"Baisley, Mark",Republican,2,3/31/22 0:00,1St Bank,Denver,CO,80231,Bank Fees,Bank Fees (Debit Card)
Senate District 04,"Baisley, Mark",Republican,50,4/1/22 0:00,University Of Denver Sturm College Of Law,Denver,CO,80208,Other,2022 Denver Water Law Review Symposium
Senate District 04,"Baisley, Mark",Republican,8.3,4/4/22 0:00,Anedot Inc.,New Orleans,LA,70112,Bank Fees,Online Payment Processing Fee
Senate District 04,"Baisley, Mark",Republican,1.3,4/5/22 0:00,Anedot Inc.,New Orleans,LA,70112,Bank Fees,Online Payment Processing Fee
Senate District 04,"Baisley, Mark",Republican,12.55,4/6/22 0:00,Brushfire Technology,Fort Worth,TX,76177,Other,Movie With Constituents In Teller County
Senate District 04,"Baisley, Mark",Republican,2.3,4/7/22 0:00,Anedot Inc.,New Orleans,LA,70112,Bank Fees,Online Payment Processing Fee
Senate District 04,"Baisley, Mark",Republican,4.99,4/14/22 0:00,Whitepages,Seattle,WA,98101,Other,Address Search Service Subscription
Senate District 04,"Baisley, Mark",Republican,98.39,4/18/22 0:00,Salida Inn & Monarch Suites,Salida,CO,81201,Travel & Lodging,Lodging For Staff In Salida For Arkansas River Basin Water Forum
Senate District 04,"Baisley, Mark",Republican,105.02,4/18/22 0:00,Salida Inn & Monarch Suites,Salida,CO,81201,Travel & Lodging,Lodging For Staff In Salida For Arkansas River Basin Water Forum
Senate District 04,"Baisley, Mark",Republican,1.3,4/20/22 0:00,Anedot Inc.,New Orleans,LA,70112,Bank Fees,Online Payment Processing Fee
Senate District 04,"Baisley, Mark",Republican,90,4/25/22 0:00,Fremont County Republican Central Committee,Canon City,CO,81212,Other,Lincoln Day Dinner/Contribution
Senate District 04,"Baisley, Mark",Republican,4.99,11/15/21 0:00,Whitepages,Seattle,WA,98101,Other,Address Search Service Subscription
Senate District 04,"Baisley, Mark",Republican,2,11/30/21 0:00,1St Bank,Denver,CO,80231,Bank Fees,Bank Fees (Debit Card)
Senate District 04,"Baisley, Mark",Republican,4.3,12/3/21 0:00,Anedot Inc.,New Orleans,LA,70112,Bank Fees,Online Payment Processing Fee
Senate District 04,"Baisley, Mark",Republican,9.6,12/4/21 0:00,Anedot Inc.,New Orleans,LA,70112,Bank Fees,Online Payment Processing Fee
Senate District 04,"Baisley, Mark",Republican,4.99,12/14/21 0:00,Whitepages,Seattle,WA,98101,Other,Address Search Service Subscription
Senate District 04,"Baisley, Mark",Republican,2,12/31/21 0:00,1St Bank,Denver,CO,80231,Bank Fees,Bank Fees (Debit Card)
Senate District 04,"Ravage, Jeff",Democratic,22.61,4/2/22 0:00,At&T,Carol Stream,IL,60197,Telephone,
Senate District 04,"Ravage, Jeff",Democratic,275.54,4/7/22 0:00,Build A Sign,Austin,TX,78758,Advertising,
Senate District 04,"Ravage, Jeff",Democratic,13.06,4/17/22 0:00,,,,,Fundraising Expenses,Actblue Fees
Senate District 04,"Ravage, Jeff",Democratic,38.1,4/18/22 0:00,My Nameplates,Brooklyn,NY,11201,Office Equipment & Supplies,
Senate District 04,"Ravage, Jeff",Democratic,41,4/23/22 0:00,United States Post Office,Bailey,CO,80421,Other,Post Office Box
Senate District 07,"Rich, Janice",Republican,20.2,6/11/21 0:00,Alpine Bank,Grand Junction,CO,81501,Bank Fees,
Senate District 07,"Rich, Janice",Republican,250.77,7/5/21 0:00,Customink,Fairfax,VA,22030,Advertising,
Senate District 07,"Rich, Janice",Republican,41.76,7/6/21 0:00,Vistaprint,Waltham,MA,2451,Advertising,
Senate District 07,"Rich, Janice",Republican,213.74,7/7/21 0:00,Copycopy,Grand Junction,CO,81501,Office Equipment & Supplies,
Senate District 07,"Rich, Janice",Republican,316,7/26/21 0:00,Patton'S Printing,Grand Junction,CO,81506,Office Equipment & Supplies,
Senate District 07,"Rich, Janice",Republican,24.2,8/18/21 0:00,Stripe,San Francisco,CA,94107,Bank Fees,
Senate District 07,"Rich, Janice",Republican,3.25,8/20/21 0:00,Stripe,San Francisco,CA,94107,Bank Fees,
Senate District 07,"Rich, Janice",Republican,12.1,8/23/21 0:00,Stripe,San Francisco,CA,94107,Bank Fees,
Senate District 07,"Rich, Janice",Republican,23.9,8/25/21 0:00,Stripe,San Francisco,CA,94107,Bank Fees,
Senate District 07,"Rich, Janice",Republican,3.25,8/31/21 0:00,Stripe,San Francisco,CA,94107,Bank Fees,
Senate District 07,"Rich, Janice",Republican,494.43,9/1/21 0:00,Impact Promotional Products,Grand Junction,CO,81501,Advertising,
Senate District 07,"Rich, Janice",Republican,6.2,9/10/21 0:00,Stripe,San Francisco,CA,94107,Bank Fees,
Senate District 07,"Rich, Janice",Republican,931.33,9/10/21 0:00,Impact Promotional Products,Grand Junction,CO,81501,Advertising,
Senate District 07,"Rich, Janice",Republican,6.2,1/11/22 0:00,,,,,Bank Fees,
Senate District 07,"Rich, Janice",Republican,453.82,1/11/22 0:00,Office Depot,Denver,CO,80209,Office Equipment & Supplies,
